Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (FBS),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","Food Balances (2010-)","012","Algeria","664","Food supply (kcal/capita/day)","S2901","Grand Total","2016","2016","kcal/cap/d","3457","E","Estimated value"
"FBS","Food Balances (2010-)","012","Algeria","664","Food supply (kcal/capita/day)","S2901","Grand Total","2017","2017","kcal/cap/d","3395","E","Estimated value"
"FBS","Food Balances (2010-)","012","Algeria","664","Food supply (kcal/capita/day)","S2901","Grand Total","2018","2018","kcal/cap/d","3392","E","Estimated value"
"FBS","Food Balances (2010-)","012","Algeria","664","Food supply (kcal/capita/day)","S2901","Grand Total","2019","2019","kcal/cap/d","3478","E","Estimated value"
"FBS","Food Balances (2010-)","012","Algeria","664","Food supply (kcal/capita/day)","S2901","Grand Total","2020","2020","kcal/cap/d","3506","E","Estimated value"
"FBS","Food Balances (2010-)","012","Algeria","664","Food supply (kcal/capita/day)","S2901","Grand Total","2021","2021","kcal/cap/d","3496","E","Estimated value"
"FBS","Food Balances (2010-)","012","Algeria","661","Food supply (kcal)","S2901","Grand Total","2016","2016","million Kcal","50893313.31","E","Estimated value"
"FBS","Food Balances (2010-)","012","Algeria","661","Food supply (kcal)","S2901","Grand Total","2017","2017","million Kcal","50971834.03","E","Estimated value"
"FBS","Food Balances (2010-)","012","Algeria","661","Food supply (kcal)","S2901","Grand Total","2018","2018","million Kcal","51912010.66","E","Estimated value"
"FBS","Food Balances (2010-)","012","Algeria","661","Food supply (kcal)","S2901","Grand Total","2019","2019","million Kcal","54219323.46","E","Estimated value"
"FBS","Food Balances (2010-)","012","Algeria","661","Food supply (kcal)","S2901","Grand Total","2020","2020","million Kcal","55602817.51","E","Estimated value"
"FBS","Food Balances (2010-)","012","Algeria","661","Food supply (kcal)","S2901","Grand Total","2021","2021","million Kcal","56377479.31","E","Estimated value"
"FBS","Food Balances (2010-)","024","Angola","664","Food supply (kcal/capita/day)","S2901","Grand Total","2016","2016","kcal/cap/d","2430","E","Estimated value"
"FBS","Food Balances (2010-)","024","Angola","664","Food supply (kcal/capita/day)","S2901","Grand Total","2017","2017","kcal/cap/d","2451","E","Estimated value"
"FBS","Food Balances (2010-)","024","Angola","664","Food supply (kcal/capita/day)","S2901","Grand Total","2018","2018","kcal/cap/d","2452","E","Estimated value"
"FBS","Food Balances (2010-)","024","Angola","664","Food supply (kcal/capita/day)","S2901","Grand Total","2019","2019","kcal/cap/d","2427","E","Estimated value"
"FBS","Food Balances (2010-)","024","Angola","664","Food supply (kcal/capita/day)","S2901","Grand Total","2020","2020","kcal/cap/d","2397","E","Estimated value"
"FBS","Food Balances (2010-)","024","Angola","664","Food supply (kcal/capita/day)","S2901","Grand Total","2021","2021","kcal/cap/d","2389","E","Estimated value"
"FBS","Food Balances (2010-)","024","Angola","661","Food supply (kcal)","S2901","Grand Total","2016","2016","million Kcal","25862670.98","E","Estimated value"
"FBS","Food Balances (2010-)","024","Angola","661","Food supply (kcal)","S2901","Grand Total","2017","2017","million Kcal","27026302.77","E","Estimated value"
"FBS","Food Balances (2010-)","024","Angola","661","Food supply (kcal)","S2901","Grand Total","2018","2018","million Kcal","27993252.63","E","Estimated value"
"FBS","Food Balances (2010-)","024","Angola","661","Food supply (kcal)","S2901","Grand Total","2019","2019","million Kcal","28656388.47","E","Estimated value"
"FBS","Food Balances (2010-)","024","Angola","661","Food supply (kcal)","S2901","Grand Total","2020","2020","million Kcal","29243645.15","E","Estimated value"
"FBS","Food Balances (2010-)","024","Angola","661","Food supply (kcal)","S2901","Grand Total","2021","2021","million Kcal","30085942.73","E","Estimated value"
"FBS","Food Balances (2010-)","028","Antigua and Barbuda","664","Food supply (kcal/capita/day)","S2901","Grand Total","2016","2016","kcal/cap/d","2396","E","Estimated value"
"FBS","Food Balances (2010-)","028","Antigua and Barbuda","664","Food supply (kcal/capita/day)","S2901","Grand Total","2017","2017","kcal/cap/d","2435","E","Estimated value"
"FBS","Food Balances (2010-)","028","Antigua and Barbuda","664","Food supply (kcal/capita/day)","S2901","Grand Total","2018","2018","kcal/cap/d","2475","E","Estimated value"
"FBS","Food Balances (2010-)","028","Antigua and Barbuda","664","Food supply (kcal/capita/day)","S2901","Grand Total","2019","2019","kcal/cap/d","2455","E","Estimated value"
"FBS","Food Balances (2010-)","028","Antigua and Barbuda","664","Food supply (kcal/capita/day)","S2901","Grand Total","2020","2020","kcal/cap/d","2428","E","Estimated value"
"FBS","Food Balances (2010-)","028","Antigua and Barbuda","664","Food supply (kcal/capita/day)","S2901","Grand Total","2021","2021","kcal/cap/d","2408","E","Estimated value"
"FBS","Food Balances (2010-)","028","Antigua and Barbuda","661","Food supply (kcal)","S2901","Grand Total","2016","2016","million Kcal","79188.74","E","Estimated value"
"FBS","Food Balances (2010-)","028","Antigua and Barbuda","661","Food supply (kcal)","S2901","Grand Total","2017","2017","million Kcal","80991.44","E","Estimated value"
"FBS","Food Balances (2010-)","028","Antigua and Barbuda","661","Food supply (kcal)","S2901","Grand Total","2018","2018","million Kcal","82775.3","E","Estimated value"
"FBS","Food Balances (2010-)","028","Antigua and Barbuda","661","Food supply (kcal)","S2901","Grand Total","2019","2019","million Kcal","82527.38","E","Estimated value"
"FBS","Food Balances (2010-)","028","Antigua and Barbuda","661","Food supply (kcal)","S2901","Grand Total","2020","2020","million Kcal","82124.42","E","Estimated value"
"FBS","Food Balances (2010-)","028","Antigua and Barbuda","661","Food supply (kcal)","S2901","Grand Total","2021","2021","million Kcal","81937.57","E","Estimated value"
"FBS","Food Balances (2010-)","032","Argentina","664","Food supply (kcal/capita/day)","S2901","Grand Total","2016","2016","kcal/cap/d","3168","E","Estimated value"
"FBS","Food Balances (2010-)","032","Argentina","664","Food supply (kcal/capita/day)","S2901","Grand Total","2017","2017","kcal/cap/d","3195","E","Estimated value"
