Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","21045","Percentage of population using safely managed drinking water services (Percent)","2000","2000","%","10.9","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","21045","Percentage of population using safely managed drinking water services (Percent)","2001","2001","%","10.9","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","21045","Percentage of population using safely managed drinking water services (Percent)","2002","2002","%","11.7","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","21045","Percentage of population using safely managed drinking water services (Percent)","2003","2003","%","12.5","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","21045","Percentage of population using safely managed drinking water services (Percent)","2004","2004","%","13.3","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","21045","Percentage of population using safely managed drinking water services (Percent)","2005","2005","%","14.1","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","21045","Percentage of population using safely managed drinking water services (Percent)","2006","2006","%","14.9","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","21045","Percentage of population using safely managed drinking water services (Percent)","2007","2007","%","16.1","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","21045","Percentage of population using safely managed drinking water services (Percent)","2008","2008","%","17.3","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","21045","Percentage of population using safely managed drinking water services (Percent)","2009","2009","%","18.3","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","21045","Percentage of population using safely managed drinking water services (Percent)","2010","2010","%","19.1","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","21045","Percentage of population using safely managed drinking water services (Percent)","2011","2011","%","20","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","21045","Percentage of population using safely managed drinking water services (Percent)","2012","2012","%","20.8","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","21045","Percentage of population using safely managed drinking water services (Percent)","2013","2013","%","21.7","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","21045","Percentage of population using safely managed drinking water services (Percent)","2014","2014","%","22.5","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","21045","Percentage of population using safely managed drinking water services (Percent)","2015","2015","%","23.4","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","21045","Percentage of population using safely managed drinking water services (Percent)","2016","2016","%","24.2","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","21045","Percentage of population using safely managed drinking water services (Percent)","2017","2017","%","25.1","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","21045","Percentage of population using safely managed drinking water services (Percent)","2018","2018","%","25.9","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","21045","Percentage of population using safely managed drinking water services (Percent)","2019","2019","%","26.8","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","21045","Percentage of population using safely managed drinking water services (Percent)","2020","2020","%","27.6","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","21047","Percentage of population using at least basic drinking water services (percent)","2000","2000","%","28.2","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","21047","Percentage of population using at least basic drinking water services (percent)","2001","2001","%","28.2","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","21047","Percentage of population using at least basic drinking water services (percent)","2002","2002","%","30.2","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","21047","Percentage of population using at least basic drinking water services (percent)","2003","2003","%","32.3","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","21047","Percentage of population using at least basic drinking water services (percent)","2004","2004","%","34.3","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","21047","Percentage of population using at least basic drinking water services (percent)","2005","2005","%","36.4","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","21047","Percentage of population using at least basic drinking water services (percent)","2006","2006","%","38.5","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","21047","Percentage of population using at least basic drinking water services (percent)","2007","2007","%","40.9","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","21047","Percentage of population using at least basic drinking water services (percent)","2008","2008","%","43.3","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","21047","Percentage of population using at least basic drinking water services (percent)","2009","2009","%","45.8","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","21047","Percentage of population using at least basic drinking water services (percent)","2010","2010","%","48.3","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","21047","Percentage of population using at least basic drinking water services (percent)","2011","2011","%","50.8","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","21047","Percentage of population using at least basic drinking water services (percent)","2012","2012","%","53.4","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","21047","Percentage of population using at least basic drinking water services (percent)","2013","2013","%","56","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","21047","Percentage of population using at least basic drinking water services (percent)","2014","2014","%","58.7","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","21047","Percentage of population using at least basic drinking water services (percent)","2015","2015","%","61.3","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","21047","Percentage of population using at least basic drinking water services (percent)","2016","2016","%","64.1","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","21047","Percentage of population using at least basic drinking water services (percent)","2017","2017","%","66.8","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","21047","Percentage of population using at least basic drinking water services (percent)","2018","2018","%","69.6","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","21047","Percentage of population using at least basic drinking water services (percent)","2019","2019","%","72.4","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","21047","Percentage of population using at least basic drinking water services (percent)","2020","2020","%","75.1","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","008","Albania","6121","Value","21045","Percentage of population using safely managed drinking water services (Percent)","2000","2000","%","49.1","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","008","Albania","6121","Value","21045","Percentage of population using safely managed drinking water services (Percent)","2001","2001","%","49.1","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","008","Albania","6121","Value","21045","Percentage of population using safely managed drinking water services (Percent)","2002","2002","%","49","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","008","Albania","6121","Value","21045","Percentage of population using safely managed drinking water services (Percent)","2003","2003","%","48.9","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","008","Albania","6121","Value","21045","Percentage of population using safely managed drinking water services (Percent)","2004","2004","%","50.7","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","008","Albania","6121","Value","21045","Percentage of population using safely managed drinking water services (Percent)","2005","2005","%","52.6","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","008","Albania","6121","Value","21045","Percentage of population using safely managed drinking water services (Percent)","2006","2006","%","54.5","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","008","Albania","6121","Value","21045","Percentage of population using safely managed drinking water services (Percent)","2007","2007","%","56.4","X","Figure from international organizations",""
